Rank,Model,Epoch,Dataset,Excluded_From_Ranking,Is_Single_Class,Brier_Score,F1,Accuracy,Precision,Recall,Threshold,TP,TN,FP,FN,Total_Samples
13,Wav2Vec2_Vanilla,5,H-2,No,Yes,0.8036,N/A,0.6782,N/A,N/A,0.02000481,2076,0,0,985,3061
13,Wav2Vec2_Vanilla,5,Authors,No,No,0.5729,0.8293,0.7407,0.8500,0.8095,0.02551997,17,3,3,4,27
13,Wav2Vec2_Vanilla,5,S&E,No,No,0.2651,0.5000,0.7143,0.6154,0.4211,0.19943483,8,32,5,11,56
13,Wav2Vec2_Vanilla,5,UrbanSound,No,Yes,0.0261,N/A,0.9966,N/A,N/A,0.84809770,0,8296,28,0,8324
13,Wav2Vec2_Vanilla,5,Wonjun_Yi,No,Yes,0.5238,N/A,0.9973,N/A,N/A,0.02001937,78756,0,0,210,78966
14,Wav2Vec2_GaussianAndBandPass,1,CalibrationDataset,Yes,No,0.2592,0.8794,0.9110,0.9083,0.8523,0.20114721,525,949,53,91,1618
14,Wav2Vec2_GaussianAndBandPass,1,DronePrint,No,Yes,0.6209,N/A,1.0000,N/A,N/A,0.18843219,12,0,0,0,12
14,Wav2Vec2_GaussianAndBandPass,1,Emo,No,Yes,0.0321,N/A,0.9973,N/A,N/A,0.21028538,0,369,1,0,370
14,Wav2Vec2_GaussianAndBandPass,1,ESC-50,No,Yes,0.0309,N/A,0.9976,N/A,N/A,0.22062266,0,1670,4,0,1674
14,Wav2Vec2_GaussianAndBandPass,1,Fusion,Yes,No,0.5591,0.9775,0.9604,0.9874,0.9677,0.20137395,79429,9401,1010,2650,92490
14,Wav2Vec2_GaussianAndBandPass,1,H-2,No,Yes,0.6593,N/A,0.9941,N/A,N/A,0.16319150,3043,0,0,18,3061
14,Wav2Vec2_GaussianAndBandPass,1,Authors,No,No,0.5194,0.8696,0.7778,0.8000,0.9524,0.17489877,20,1,5,1,27
14,Wav2Vec2_GaussianAndBandPass,1,S&E,No,No,0.2506,0.3824,0.2500,0.2653,0.6842,0.17292975,13,1,36,6,56
14,Wav2Vec2_GaussianAndBandPass,1,UrbanSound,No,Yes,0.0346,N/A,0.9999,N/A,N/A,0.22886382,0,8323,1,0,8324
14,Wav2Vec2_GaussianAndBandPass,1,Wonjun_Yi,No,Yes,0.6245,N/A,0.9999,N/A,N/A,0.19977175,78961,0,0,5,78966
15,Wav2Vec2_AllAugments,1,CalibrationDataset,Yes,No,0.3188,0.1987,0.5414,0.2968,0.1494,0.22794329,92,784,218,524,1618
15,Wav2Vec2_AllAugments,1,DronePrint,No,Yes,0.4406,N/A,0.8333,N/A,N/A,0.27578460,10,0,0,2,12
15,Wav2Vec2_AllAugments,1,Emo,No,Yes,0.0501,N/A,0.9973,N/A,N/A,0.33968282,0,369,1,0,370
15,Wav2Vec2_AllAugments,1,ESC-50,No,Yes,0.0358,N/A,0.9994,N/A,N/A,0.51838980,0,1673,1,0,1674
15,Wav2Vec2_AllAugments,1,Fusion,Yes,No,0.7328,0.0670,0.0749,0.3189,0.0374,0.17238262,3070,3854,6557,79009,92490
15,Wav2Vec2_AllAugments,1,H-2,No,Yes,0.5477,N/A,0.9990,N/A,N/A,0.14292790,3058,0,0,3,3061
15,Wav2Vec2_AllAugments,1,Authors,No,No,0.4252,0.8636,0.7778,0.8261,0.9048,0.23005846,19,2,4,2,27
15,Wav2Vec2_AllAugments,1,S&E,No,No,0.2370,0.4082,0.4821,0.3333,0.5263,0.24171463,10,17,20,9,56
15,Wav2Vec2_AllAugments,1,UrbanSound,No,Yes,0.0378,N/A,0.9996,N/A,N/A,0.39619836,0,8321,3,0,8324
15,Wav2Vec2_AllAugments,1,Wonjun_Yi,No,Yes,0.8318,N/A,1.0000,N/A,N/A,0.07858462,78964,0,0,2,78966
16,Wav2Vec2_GaussianNoise,10,CalibrationDataset,Yes,No,0.2476,0.8351,0.8745,0.8358,0.8344,0.02706548,514,901,101,102,1618
16,Wav2Vec2_GaussianNoise,10,DronePrint,No,Yes,0.8352,N/A,0.9167,N/A,N/A,0.02622270,11,0,0,1,12
16,Wav2Vec2_GaussianNoise,10,Emo,No,Yes,0.0013,N/A,0.9973,N/A,N/A,0.23052047,0,369,1,0,370
16,Wav2Vec2_GaussianNoise,10,ESC-50,No,Yes,0.0004,N/A,0.9994,N/A,N/A,0.35736367,0,1673,1,0,1674
16,Wav2Vec2_GaussianNoise,10,Fusion,Yes,No,0.8000,0.7224,0.6076,0.9706,0.5752,0.02000113,47215,8980,1431,34864,92490
16,Wav2Vec2_GaussianNoise,10,H-2,No,Yes,0.9749,N/A,0.1333,N/A,N/A,0.02002807,408,0,0,2653,3061
16,Wav2Vec2_GaussianNoise,10,Authors,No,No,0.7502,0.3200,0.3704,1.0000,0.1905,0.02706548,4,6,0,17,27
16,Wav2Vec2_GaussianNoise,10,S&E,No,No,0.3268,0.3125,0.6071,0.3846,0.2632,0.02706548,5,29,8,14,56
16,Wav2Vec2_GaussianNoise,10,UrbanSound,No,Yes,0.0039,N/A,0.9999,N/A,N/A,0.90331405,0,8323,1,0,8324
16,Wav2Vec2_GaussianNoise,10,Wonjun_Yi,No,Yes,0.8982,N/A,0.5924,N/A,N/A,0.02000113,46783,0,0,32183,78966
17,Wav2Vec2_Clipped,1,CalibrationDataset,Yes,No,0.3398,0.2305,0.5667,0.3559,0.1705,0.12388600,105,812,190,511,1618
17,Wav2Vec2_Clipped,1,DronePrint,No,Yes,0.3667,N/A,1.0000,N/A,N/A,0.14661106,12,0,0,0,12
17,Wav2Vec2_Clipped,1,Emo,No,Yes,0.0210,N/A,0.9892,N/A,N/A,0.39353040,0,366,4,0,370
17,Wav2Vec2_Clipped,1,ESC-50,No,Yes,0.0095,N/A,0.9994,N/A,N/A,0.77754414,0,1673,1,0,1674
17,Wav2Vec2_Clipped,1,Fusion,Yes,No,0.8260,0.0676,0.1015,0.4276,0.0367,0.07747337,3010,6382,4029,79069,92490
17,Wav2Vec2_Clipped,1,H-2,No,Yes,0.6357,N/A,1.0000,N/A,N/A,0.04355912,3061,0,0,0,3061
17,Wav2Vec2_Clipped,1,Authors,No,No,0.4602,0.8372,0.7407,0.8182,0.8571,0.14290560,18,2,4,3,27
17,Wav2Vec2_Clipped,1,S&E,No,No,0.2467,0.4615,0.5000,0.3636,0.6316,0.12388600,12,16,21,7,56
17,Wav2Vec2_Clipped,1,UrbanSound,No,Yes,0.0103,N/A,0.9995,N/A,N/A,0.50448400,0,8320,4,0,8324
17,Wav2Vec2_Clipped,1,Wonjun_Yi,No,Yes,0.9410,N/A,1.0000,N/A,N/A,0.02685221,78966,0,0,0,78966
18,Wav2Vec2_BandPassSurefire,10,CalibrationDataset,Yes,No,0.3407,0.8487,0.8795,0.8128,0.8880,0.02587248,547,876,126,69,1618
18,Wav2Vec2_BandPassSurefire,10,DronePrint,No,Yes,0.8093,N/A,0.6667,N/A,N/A,0.07297452,8,0,0,4,12
18,Wav2Vec2_BandPassSurefire,10,Emo,No,Yes,0.0007,N/A,0.9973,N/A,N/A,0.11764508,0,369,1,0,370
18,Wav2Vec2_BandPassSurefire,10,ESC-50,No,Yes,0.0003,N/A,0.9994,N/A,N/A,0.22278297,0,1673,1,0,1674
18,Wav2Vec2_BandPassSurefire,10,Fusion,Yes,No,0.8329,0.8176,0.7197,0.9676,0.7078,0.02000281,58096,8468,1943,23983,92490
18,Wav2Vec2_BandPassSurefire,10,H-2,No,Yes,0.9524,N/A,0.3721,N/A,N/A,0.02003396,1139,0,0,1922,3061
18,Wav2Vec2_BandPassSurefire,10,Authors,No,No,0.7338,0.6452,0.5926,1.0000,0.4762,0.02587248,10,6,0,11,27
18,Wav2Vec2_BandPassSurefire,10,S&E,No,No,0.3184,0.5294,0.7143,0.6000,0.4737,0.02803528,9,31,6,10,56
18,Wav2Vec2_BandPassSurefire,10,UrbanSound,No,Yes,0.0007,N/A,0.9995,N/A,N/A,0.26633910,0,8320,4,0,8324
18,Wav2Vec2_BandPassSurefire,10,Wonjun_Yi,No,Yes,0.9379,N/A,0.7209,N/A,N/A,0.02000431,56923,0,0,22043,78966
19,Wav2Vec2_Vanilla,10,CalibrationDataset,Yes,No,0.3284,0.8472,0.8857,0.8622,0.8328,0.02375309,513,920,82,103,1618
19,Wav2Vec2_Vanilla,10,DronePrint,No,Yes,0.8438,N/A,0.8333,N/A,N/A,0.03129824,10,0,0,2,12
